TweetId,Start,End,Tweet
9.73230239005409E+017,2018/03/12,2018/03/21,1
9.73228928398701E+017,2018/03/12,2018/03/21,2
9.73226060924977E+017,2018/03/12,2018/03/21,3
9.73224994271527E+017,2018/03/12,2018/03/21,4
9.72985706221068E+017,2018/03/11,2018/03/21,5
9.72966791130559E+017,2018/03/11,2018/03/21,6
9.72966176778261E+017,2018/03/11,2018/03/21,7
9.72964187541594E+017,2018/03/11,2018/03/21,8
9.72962928872878E+017,2018/03/11,2018/03/21,9
9.72960197684711E+017,2018/03/11,2018/03/21,10
9.72954592743916E+017,2018/03/11,2018/03/21,11
9.72954046909776E+017,2018/03/11,2018/03/21,12
9.7295364262085E+017,2018/03/11,2018/03/21,13
9.72949934130557E+017,2018/03/11,2018/03/21,14
9.72948864767611E+017,2018/03/11,2018/03/21,15
9.72801670139863E+017,2018/03/11,2018/03/21,16
9.72544453595542E+017,2018/03/10,2018/03/21,17
9.72294009241719E+017,2018/03/09,2018/03/17,18
9.72293318364328E+017,2018/03/09,2018/03/17,19
9.72285328840118E+017,2018/03/09,2018/03/17,20
9.72253271120326E+017,2018/03/09,2018/03/17,21
9.72222369908625E+017,2018/03/09,2018/03/17,22
9.72150994153955E+017,2018/03/09,2018/03/17,23
9.72148752260707E+017,2018/03/09,2018/03/17,24
9.72139654341431E+017,2018/03/09,2018/03/17,25
9.72130483818631E+017,2018/03/09,2018/03/17,26
9.72128435274437E+017,2018/03/09,2018/03/17,27
9.72123565851074E+017,2018/03/09,2018/03/17,28
9.71932553509724E+017,2018/03/08,2018/03/17,29
9.71932188294943E+017,2018/03/08,2018/03/17,30
9.71931015567602E+017,2018/03/08,2018/03/17,31
9.71929302328594E+017,2018/03/08,2018/03/17,32
9.71928441732895E+017,2018/03/08,2018/03/17,33
9.71920010628207E+017,2018/03/08,2018/03/17,34
9.71919962485949E+017,2018/03/08,2018/03/17,35
9.71915252152635E+017,2018/03/08,2018/03/17,36
9.71914633266319E+017,2018/03/08,2018/03/17,37
9.71914481617003E+017,2018/03/08,2018/03/17,38
9.71913757462073E+017,2018/03/08,2018/03/17,39
9.71903642881143E+017,2018/03/08,2018/03/17,40
9.71903177737036E+017,2018/03/08,2018/03/17,41
9.71901001543373E+017,2018/03/08,2018/03/17,42
9.71898849580147E+017,2018/03/08,2018/03/17,43
9.71897014228279E+017,2018/03/08,2018/03/17,44
9.71896557799952E+017,2018/03/08,2018/03/17,45
9.71896008744587E+017,2018/03/08,2018/03/17,46
9.71895907166904E+017,2018/03/08,2018/03/17,47
9.71895508301173E+017,2018/03/08,2018/03/17,48
9.71895213970084E+017,2018/03/08,2018/03/17,49
9.71894910222729E+017,2018/03/08,2018/03/17,50
