TweetId,Start,End
977231225814478848,2018/03/23,2018/03/31
976905036990177280,2018/03/22,2018/03/31
976877328205795328,2018/03/22,2018/03/31
976876798859530240,2018/03/22,2018/03/31
976873632503861251,2018/03/22,2018/03/31
976873167703724032,2018/03/22,2018/03/31
976870328646492160,2018/03/22,2018/03/31
976869278736633856,2018/03/22,2018/03/31
976868055966994435,2018/03/22,2018/03/31
976867771890978816,2018/03/22,2018/03/31
976864296301981696,2018/03/22,2018/03/31
976863558867849219,2018/03/22,2018/03/31
976861287169904641,2018/03/22,2018/03/31
976856906026319872,2018/03/22,2018/03/31
976856780276928512,2018/03/22,2018/03/31
976855954598846464,2018/03/22,2018/03/31
976855650100764675,2018/03/22,2018/03/31
976821705594359808,2018/03/22,2018/03/31
976817423608410112,2018/03/22,2018/03/31
976817308755726336,2018/03/22,2018/03/31
976814354560684032,2018/03/22,2018/03/31
976812418251837440,2018/03/22,2018/03/31
976811962431569920,2018/03/22,2018/03/31
976810142896476162,2018/03/22,2018/03/31
976809519140524032,2018/03/22,2018/03/31
976808598188765184,2018/03/22,2018/03/31
976808269049204736,2018/03/22,2018/03/31
976806396518952960,2018/03/22,2018/03/31
976798242913619970,2018/03/22,2018/03/31
976543467689127937,2018/03/21,2018/03/31
976540702778839040,2018/03/21,2018/03/31
976540416723095552,2018/03/21,2018/03/31
976538975719624706,2018/03/21,2018/03/31
976537932822601730,2018/03/21,2018/03/31
976537457960333312,2018/03/21,2018/03/31
976536367504154624,2018/03/21,2018/03/31
976536313653579776,2018/03/21,2018/03/31
976534249787535361,2018/03/21,2018/03/31
976531884065939463,2018/03/21,2018/03/31
976531429822779392,2018/03/21,2018/03/31
976530772441083906,2018/03/21,2018/03/31
976521157741547520,2018/03/21,2018/03/31
976197398459535361,2018/03/20,2018/03/31
976194605791268865,2018/03/20,2018/03/31
975776049761017862,2018/03/19,2018/03/27
975688605371912194,2018/03/19,2018/03/27
975667015145934848,2018/03/19,2018/03/27
975518677356437506,2018/03/18,2018/03/27
975517984033828865,2018/03/18,2018/03/27
975363328309694465,2018/03/18,2018/03/27
975361663498153987,2018/03/18,2018/03/27
975099752005107712,2018/03/17,2018/03/27
975099461415395330,2018/03/17,2018/03/27
975055629797810176,2018/03/17,2018/03/27
975047064211148801,2018/03/17,2018/03/27
975030185400717312,2018/03/17,2018/03/27
974807756527079424,2018/03/16,2018/03/27
974765369276628994,2018/03/16,2018/03/27
974758326532788226,2018/03/16,2018/03/27
974758232219684866,2018/03/16,2018/03/27
974735752952270848,2018/03/16,2018/03/27
974731492608888833,2018/03/16,2018/03/27
974724973704155136,2018/03/16,2018/03/27
974724804912836608,2018/03/16,2018/03/27
974723258128982017,2018/03/16,2018/03/27
974714564205006853,2018/03/16,2018/03/27
974707901548974081,2018/03/16,2018/03/27
974700212785643520,2018/03/16,2018/03/27
974699476173680643,2018/03/16,2018/03/27
974699214847512581,2018/03/16,2018/03/27
974696512465850368,2018/03/16,2018/03/27
974696273784786947,2018/03/16,2018/03/27
974677618032349186,2018/03/16,2018/03/27
974674941126807552,2018/03/16,2018/03/27
974672814388150272,2018/03/16,2018/03/27
974669618097790976,2018/03/16,2018/03/27
974669517078048768,2018/03/16,2018/03/27
974668841178615809,2018/03/16,2018/03/27
974623816944058368,2018/03/16,2018/03/27
974609607539810305,2018/03/16,2018/03/27
974602270108192768,2018/03/16,2018/03/27
974599199969955841,2018/03/16,2018/03/27
