TweetId,Start,End,Tweet
9.77231225814479E+017,2018/03/23,2018/03/31,1
9.76905036990177E+017,2018/03/22,2018/03/31,2
9.76877328205795E+017,2018/03/22,2018/03/31,3
9.7687679885953E+017,2018/03/22,2018/03/31,4
9.76873632503861E+017,2018/03/22,2018/03/31,5
9.76873167703724E+017,2018/03/22,2018/03/31,6
9.76870328646492E+017,2018/03/22,2018/03/31,7
9.76869278736634E+017,2018/03/22,2018/03/31,8
9.76868055966994E+017,2018/03/22,2018/03/31,9
9.76867771890979E+017,2018/03/22,2018/03/31,10
9.76864296301982E+017,2018/03/22,2018/03/31,11
9.76863558867849E+017,2018/03/22,2018/03/31,12
9.76861287169905E+017,2018/03/22,2018/03/31,13
9.7685690602632E+017,2018/03/22,2018/03/31,14
9.76856780276928E+017,2018/03/22,2018/03/31,15
9.76855954598847E+017,2018/03/22,2018/03/31,16
9.76855650100765E+017,2018/03/22,2018/03/31,17
9.7682170559436E+017,2018/03/22,2018/03/31,18
9.7681742360841E+017,2018/03/22,2018/03/31,19
9.76817308755726E+017,2018/03/22,2018/03/31,20
9.76814354560684E+017,2018/03/22,2018/03/31,21
9.76812418251837E+017,2018/03/22,2018/03/31,22
9.7681196243157E+017,2018/03/22,2018/03/31,23
9.76810142896476E+017,2018/03/22,2018/03/31,24
9.76809519140524E+017,2018/03/22,2018/03/31,25
9.76808598188765E+017,2018/03/22,2018/03/31,26
9.76808269049205E+017,2018/03/22,2018/03/31,27
9.76806396518953E+017,2018/03/22,2018/03/31,28
9.7679824291362E+017,2018/03/22,2018/03/31,29
9.76543467689128E+017,2018/03/21,2018/03/31,30
9.76540702778839E+017,2018/03/21,2018/03/31,31
9.76540416723096E+017,2018/03/21,2018/03/31,32
9.76538975719625E+017,2018/03/21,2018/03/31,33
9.76537932822602E+017,2018/03/21,2018/03/31,34
9.76537457960333E+017,2018/03/21,2018/03/31,35
9.76536367504155E+017,2018/03/21,2018/03/31,36
9.7653631365358E+017,2018/03/21,2018/03/31,37
9.76534249787535E+017,2018/03/21,2018/03/31,38
9.76531884065939E+017,2018/03/21,2018/03/31,39
9.76531429822779E+017,2018/03/21,2018/03/31,40
9.76530772441084E+017,2018/03/21,2018/03/31,41
9.76521157741547E+017,2018/03/21,2018/03/31,42
9.76197398459535E+017,2018/03/20,2018/03/31,43
9.76194605791269E+017,2018/03/20,2018/03/31,44
9.75776049761018E+017,2018/03/19,2018/03/27,45
9.75688605371912E+017,2018/03/19,2018/03/27,46
9.75667015145935E+017,2018/03/19,2018/03/27,47
9.75518677356438E+017,2018/03/18,2018/03/27,48
9.75517984033829E+017,2018/03/18,2018/03/27,49
9.75363328309694E+017,2018/03/18,2018/03/27,50
