TweetId,Start,End
973230239005409282,2018/03/12,2018/03/21
973228928398700544,2018/03/12,2018/03/21
973226060924977152,2018/03/12,2018/03/21
973224994271526912,2018/03/12,2018/03/21
972985706221068288,2018/03/11,2018/03/21
972966791130558464,2018/03/11,2018/03/21
972966176778260480,2018/03/11,2018/03/21
972964187541594113,2018/03/11,2018/03/21
972962928872878080,2018/03/11,2018/03/21
972960197684711425,2018/03/11,2018/03/21
972954592743915520,2018/03/11,2018/03/21
972954046909775872,2018/03/11,2018/03/21
972953642620850176,2018/03/11,2018/03/21
972949934130556930,2018/03/11,2018/03/21
972948864767610880,2018/03/11,2018/03/21
972801670139863041,2018/03/11,2018/03/21
972544453595541504,2018/03/10,2018/03/21
972294009241718784,2018/03/09,2018/03/17
972293318364327936,2018/03/09,2018/03/17
972285328840118273,2018/03/09,2018/03/17
972253271120326656,2018/03/09,2018/03/17
972222369908625408,2018/03/09,2018/03/17
972150994153955329,2018/03/09,2018/03/17
972148752260706305,2018/03/09,2018/03/17
972139654341431296,2018/03/09,2018/03/17
972130483818631169,2018/03/09,2018/03/17
972128435274436608,2018/03/09,2018/03/17
972123565851074560,2018/03/09,2018/03/17
971932553509724160,2018/03/08,2018/03/17
971932188294942720,2018/03/08,2018/03/17
971931015567601664,2018/03/08,2018/03/17
971929302328594432,2018/03/08,2018/03/17
971928441732894721,2018/03/08,2018/03/17
971920010628206594,2018/03/08,2018/03/17
971919962485948421,2018/03/08,2018/03/17
971915252152635392,2018/03/08,2018/03/17
971914633266319361,2018/03/08,2018/03/17
971914481617002497,2018/03/08,2018/03/17
971913757462073344,2018/03/08,2018/03/17
971903642881142786,2018/03/08,2018/03/17
971903177737035776,2018/03/08,2018/03/17
971901001543372802,2018/03/08,2018/03/17
971898849580146688,2018/03/08,2018/03/17
971897014228279296,2018/03/08,2018/03/17
971896557799952384,2018/03/08,2018/03/17
971896008744587264,2018/03/08,2018/03/17
971895907166904321,2018/03/08,2018/03/17
971895508301172738,2018/03/08,2018/03/17
971895213970083840,2018/03/08,2018/03/17
971894910222729216,2018/03/08,2018/03/17
971894572715520001,2018/03/08,2018/03/17
971894325436211201,2018/03/08,2018/03/17
971892744246517760,2018/03/08,2018/03/17
971892380260499456,2018/03/08,2018/03/17
971891894379835394,2018/03/08,2018/03/17
971891558541856769,2018/03/08,2018/03/17
971890459093151744,2018/03/08,2018/03/17
971890100941541376,2018/03/08,2018/03/17
971890013049942017,2018/03/08,2018/03/17
971886806974320641,2018/03/08,2018/03/17
971885935192309761,2018/03/08,2018/03/17
971885499202797570,2018/03/08,2018/03/17
971884303205453824,2018/03/08,2018/03/17
971884101920804864,2018/03/08,2018/03/17
971883344790212608,2018/03/08,2018/03/17
971881395114082305,2018/03/08,2018/03/17
971880905303306240,2018/03/08,2018/03/17
971764498012033024,2018/03/08,2018/03/17
971758566179770368,2018/03/08,2018/03/17
971750439875235842,2018/03/08,2018/03/17
971750380622270465,2018/03/08,2018/03/17
971723681503367169,2018/03/08,2018/03/17
971722361425879041,2018/03/08,2018/03/17
971722325166055425,2018/03/08,2018/03/17
971722163840536576,2018/03/08,2018/03/17
971522038929162240,2018/03/07,2018/03/17
971514914165665793,2018/03/07,2018/03/17
971513301216743426,2018/03/07,2018/03/17
971508466476113921,2018/03/07,2018/03/17
971502291445538817,2018/03/07,2018/03/17
